# wave bandpass
1.0 0.0
1.0074050416253135 0.0
1.0148649178920999 0.0
1.0223800348531613 0.0
1.0299508015681387 0.0
1.0375776301257758 0.0
1.0452609356663514 0.0
1.0530011364042748 0.0
1.0607986536508511 0.0
1.0686539118372123 0.0
1.076567338537421 0.0
1.0845393644917438 0.0
1.0925704236300964 0.0
1.1006609530956637 0.0
1.1088113932686945 0.0
1.1170221877904711 0.0
1.1252937835874586 0.0
1.1336266308956302 0.0
1.1420211832849763 0.0
1.1504778976841914 0.0
1.1589972344055461 0.0
1.1675796571699426 0.0
1.1762256331321554 0.0
1.18493563290626 0.0
1.193710130591248 0.0
1.202549603796835 0.0
1.2114545336694549 0.0
1.2204254049184522 0.0
1.2294627058424634 0.0
1.2385669283559977 0.0
1.2477385680162105 0.0
1.2569781240498799 0.0
1.2662860993805778 0.0
1.275663000656047 0.0
1.2851093382757774 0.0
1.2946256264187888 0.0
1.3042123830716177 0.0
1.3138701300565125 0.0
1.323599393059837 0.0
1.333400701660685 0.0
1.343274589359705 0.0
1.3532215936081395 0.0
1.363242255837081 0.0
1.373337121486941 0.0
1.3835067400371401 0.0
1.393751665036017 0.0
1.404072454130959 0.0
1.4144696690987553 0.0
1.424943875876175 0.0
1.4354956445907738 0.0
1.446125549591925 0.0
1.4568341694820826 0.0
1.4676220871482766 0.0
1.4784898897938392 0.0
1.489438168970368 0.0
1.5004675206099243 0.0
1.5115785450574721 0.0
1.5227718471035536 0.0
1.534048036017211 0.0
1.545407725579149 0.0
1.5568515341151439 0.0
1.5683800845296998 0.0
1.5799940043399552 0.0
1.5916939257098384 0.0
1.6034804854844786 0.0
1.6153543252248694 0.0
1.6273160912427898 0.0
1.6393664346359853 0.0
1.6515060113236069 0.0
1.6637354820819137 0.0
1.6760555125802417 0.0
1.6884667734172345 0.0
1.7009699401573481 0.0
1.7135656933676204 0.0
1.7262547186547172 0.0
1.7390377067022493 0.0
1.7519153533083693 0.0
1.764888359423644 0.0
1.7779574311892075 0.0
1.7911232799751993 0.0
1.8043866224194838 0.0
1.817748180466659 0.0
1.831208681407353 0.0
1.8447688579178099 0.0
1.8584294480997736 0.0
1.8721911955206612 0.0
1.8860548492540372 0.0
1.900021163920388 0.0
1.9140908997281953 0.0
1.9282648225153167 0.0
1.9425437037906703 0.0
1.9569283207762314 0.0
1.9714194564493344 0.0
1.9860178995852946 0.0
2.000724444800342 0.0
2.015539892594871 0.0
2.0304650493970158 0.0
2.0455007276065453 0.0
2.060647745639081 0.0
2.075906927970647 0.0
2.0912791051825463 0.0
2.106765114006572 0.0
2.122365797370549 0.0
2.13808200444422 0.0
2.153914590685463 0.0
2.1698644178868594 0.0
2.185932354222599 0.0
